question,faithfulness_PDF,faithfulness_MD,faithfulness_winner,answer_relevancy_PDF,answer_relevancy_MD,answer_relevancy_winner,context_precision_PDF,context_precision_MD,context_precision_winner,context_recall_PDF,context_recall_MD,context_recall_winner
本标准适用于哪些类型的汽车？,1.0,,=,0.9325900146650992,0.0,PDF,0.9999999999,0.0,PDF,0.0,0.0,=
根据本标准，头部性能指标（HPC）的限值是多少？,1.0,0.7142857142857143,PDF,0.0,0.9139534049396644,MD,0.0,0.0,=,0.0,0.0,=
碰撞试验后，对于燃油供给系统液体连续泄漏的速率有何要求？,1.0,1.0,=,0.8990368028434587,0.8987090440511024,PDF,0.49999999995,0.99999999995,MD,1.0,1.0,=
根据标准，若转向盘可调且制造厂没有规定位置，应调节到什么位置？,1.0,1.0,=,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
在碰撞瞬间，车辆速度应为多少？如果试验在更高的碰撞速度下进行且车辆符合要求，结果如何判定？,1.0,0.6666666666666666,PDF,0.7728662762054738,0.7273188440247239,PDF,0.9999999999666668,0.3333333333,PDF,1.0,1.0,=
对于高度可调节的头枕，试验时应处于什么位置？,1.0,1.0,=,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
在A.4.12中，摇动3-D H装置时，应在什么角度范围内左右摇动3个来回？,1.0,1.0,=,0.0,0.8739274531090563,MD,0.0,0.9999999999,MD,0.0,1.0,MD
根据A.4.16，如果认为同一排座椅是一样的，每排应确定几个H点和一个实际靠背角？对于第一排，3-D H装置应安放在哪个位置？,0.6,1.0,MD,0.0,0.9324692970968774,MD,0.0,0.9999999999,MD,0.0,1.0,MD
根据B.1.2，计算HPC值时，t2-t1的时间间隔有何限制？,1.0,1.0,=,0.669856449900057,0.9144277963148087,MD,0.0,0.3333333333,MD,0.0,1.0,MD
根据标准，正面固定壁障碰撞试验中，车辆碰撞瞬间的速度应为多少？,1.0,1.0,=,0.9310925583189658,0.8206930464436549,PDF,0.9999999999,0.3333333333,PDF,0.0,0.5,MD
标准中定义的“B级电压电路”的最大工作电压范围是多少？,1.0,1.0,=,0.9834425194124023,0.979683577679476,PDF,0.8333333332916666,0.7499999999625,PDF,1.0,1.0,=
按照 6.3 进行头型冲击器试验时，对减速度和累积作用时间有何具体要求？,1.0,0.3333333333333333,PDF,0.7659682289077404,0.0,PDF,0.0,0.0,=,0.0,0.0,=
在转向操纵支撑装置移动量测量中，转向操纵支撑装置顶点沿水平方向的移动量δx的计算公式是什么？,1.0,1.0,=,0.9686499206860084,0.9686499206860084,=,0.499999999975,0.8333333332916666,MD,1.0,1.0,=
人体模块试验中，人体模块的质量和重心距顶部的尺寸要求分别是多少？,1.0,1.0,=,0.8948118551675369,0.9228895415302474,MD,0.49999999995,0.49999999995,=,1.0,1.0,=
对于已获得型式批准的最大总质量不小于1500 kg的N₁类车型，自本文件实施之日起第几个月开始执行？,1.0,1.0,=,0.8760733451428534,0.9591402294756478,MD,0.9999999999,0.8666666666377778,PDF,1.0,1.0,=
本标准中B级电压的直流和交流最大工作电压范围分别是多少？,1.0,1.0,=,0.8673035670620006,0.9680608607099972,MD,0.8055555555287036,0.699999999965,PDF,1.0,1.0,=
本标准中高压维修断开装置在哪些情况下允许在不使用工具时打开或拔出？,1.0,1.0,=,0.925408020208074,0.9260170958678454,MD,0.99999999995,0.5833333333041666,PDF,1.0,1.0,=
本标准中车辆充电插座与充电插头断开后，满足哪些条件之一即可？,1.0,0.75,PDF,0.9350891837913043,0.0,PDF,0.3333333333,0.0,PDF,1.0,0.0,PDF
根据标准，车辆应具备绝缘电阻监测功能，在哪些情况下应开启该功能？,1.0,0.8,PDF,0.8929768126524459,0.0,PDF,0.3333333333,0.0,PDF,1.0,0.0,PDF
